sampleIndex,timestampMs,elapsedMs,mode,reason,renderXMeters,renderYMeters,renderRow,renderCol,bleXMeters,bleYMeters,bleRow,bleCol,hasBleFix,groundTruthXMeters,groundTruthYMeters,groundTruthRow,groundTruthCol,truthSource,evaluationEligible,errorMeters,bleErrorMeters,liveCount,filteredCount,adaptiveTuningEnabled,bleQualityScore,pdrQualityScore,rssiNoiseDb,bleMeasurementStdMeters,bleResidualRmsMeters,bleResidualMaxMeters,motionState,recordingEnabled,trialLabel
0,1780415833235,33411,FUSION,LESS_THAN_3_BEACONS,1.899038,0.670406,1.072650,3.038461,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,4.447800,0.900000,,,FIXED,true,STATIC
1,1780415838728,38904,FUSION,LESS_THAN_3_BEACONS,1.899038,0.670406,1.072650,3.038461,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,0.000000,0.900000,,,FIXED,true,STATIC
2,1780415843232,43408,FUSION,LESS_THAN_3_BEACONS,1.899038,0.670406,1.072650,3.038461,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,0.000000,0.900000,,,FIXED,true,STATIC
3,1780415848364,48540,FUSION,LESS_THAN_3_BEACONS,1.899038,0.670406,1.072650,3.038461,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,2.965200,0.900000,,,FIXED,true,STATIC
4,1780415851450,51626,FUSION,LESS_THAN_3_BEACONS,1.899038,0.670406,1.072650,3.038461,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,2.965200,0.900000,,,FIXED,true,STATIC
5,1780415855561,55737,FUSION,LESS_THAN_3_BEACONS,1.899038,0.670406,1.072650,3.038461,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,2.965200,0.900000,,,FIXED,true,STATIC
6,1780415860270,60446,FUSION,LESS_THAN_3_BEACONS,1.899038,0.670406,1.072650,3.038461,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,2.965200,0.900000,,,FIXED,true,STATIC
7,1780415866387,66563,FUSION,LESS_THAN_3_BEACONS,1.899038,0.670406,1.072650,3.038461,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,2.965200,0.900000,,,FIXED,true,STATIC
8,1780415869018,69194,FUSION,DEAD_RECKONING,2.220416,0.140202,0.224323,3.552665,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,2.965200,0.900000,,,FIXED,true,STATIC
9,1780415870021,70197,FUSION,DEAD_RECKONING,2.500000,0.000000,0.000000,4.000000,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,2.965200,0.900000,,,FIXED,true,STATIC
10,1780415874980,75156,FUSION,LESS_THAN_3_BEACONS,2.500000,0.000000,0.000000,4.000000,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,4.447800,0.900000,,,FIXED,true,STATIC
11,1780415878863,79039,FUSION,LESS_THAN_3_BEACONS,2.500000,0.000000,0.000000,4.000000,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,4.447800,0.900000,,,FIXED,true,STATIC
12,1780415884402,84578,FUSION,LESS_THAN_3_BEACONS,2.500000,0.000000,0.000000,4.000000,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,4.447800,0.900000,,,FIXED,true,STATIC
13,1780415887462,87638,FUSION,LESS_THAN_3_BEACONS,2.500000,0.000000,0.000000,4.000000,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,5.930400,0.900000,,,FIXED,true,STATIC
14,1780415891356,91532,FUSION,LESS_THAN_3_BEACONS,2.500000,0.000000,0.000000,4.000000,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,1.482600,0.900000,,,FIXED,true,STATIC
15,1780415896501,96677,FUSION,LESS_THAN_3_BEACONS,2.500000,0.000000,0.000000,4.000000,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,1.482600,0.900000,,,FIXED,true,STATIC
16,1780415899595,99771,FUSION,LESS_THAN_3_BEACONS,2.500000,0.000000,0.000000,4.000000,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,7.413000,0.900000,,,FIXED,true,STATIC
17,1780415903066,103242,FUSION,LESS_THAN_3_BEACONS,2.500000,0.000000,0.000000,4.000000,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,1.482600,0.900000,,,FIXED,true,STATIC
18,1780415905612,105788,ANCHOR,MAP_TAP,1.941773,0.723825,1.158120,3.106838,,,,,false,1.941773,0.723825,1.158120,3.106838,MANUAL_ANCHOR,false,0.000000,,1,1,false,0.000000,1.000000,1.482600,0.900000,,,FIXED,true,STATIC
19,1780415910626,110802,FUSION,LESS_THAN_3_BEACONS,1.941773,0.723825,1.158120,3.106838,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,0.000000,0.900000,,,FIXED,true,STATIC
20,1780415914519,114695,FUSION,LESS_THAN_3_BEACONS,1.941773,0.723825,1.158120,3.106838,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,0.000000,0.900000,,,FIXED,true,STATIC
21,1780415920286,120462,FUSION,LESS_THAN_3_BEACONS,1.941773,0.723825,1.158120,3.106838,,,,,false,,,,,NONE,false,,,1,1,false,0.000000,1.000000,0.000000,0.900000,,,FIXED,true,STATIC
