sampleIndex,timestampMs,elapsedMs,mode,reason,renderXMeters,renderYMeters,renderRow,renderCol,bleXMeters,bleYMeters,bleRow,bleCol,hasBleFix,groundTruthXMeters,groundTruthYMeters,groundTruthRow,groundTruthCol,truthSource,evaluationEligible,errorMeters,bleErrorMeters,liveCount,filteredCount,adaptiveTuningEnabled,bleQualityScore,pdrQualityScore,rssiNoiseDb,bleMeasurementStdMeters,bleResidualRmsMeters,bleResidualMaxMeters,motionState,recordingEnabled,trialLabel
0,1780416332660,13528,FUSION,LESS_THAN_3_BEACONS,1.204594,1.223291,1.957265,1.927350,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,0.741300,0.900000,,,FIXED,true,STATIC
1,1780416334761,15629,FUSION,LESS_THAN_3_BEACONS,1.204594,1.223291,1.957265,1.927350,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,0.000000,0.900000,,,FIXED,true,STATIC
2,1780416337833,18701,FUSION,LESS_THAN_3_BEACONS,1.204594,1.223291,1.957265,1.927350,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,1.482600,0.900000,,,FIXED,true,STATIC
3,1780416345846,26714,FUSION,LESS_THAN_3_BEACONS,1.204594,1.223291,1.957265,1.927350,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,0.741300,0.900000,,,FIXED,true,STATIC
4,1780416349579,30447,FUSION,LESS_THAN_3_BEACONS,1.204594,1.223291,1.957265,1.927350,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,0.000000,0.900000,,,FIXED,true,STATIC
5,1780416357969,38837,FUSION,LESS_THAN_3_BEACONS,1.204594,1.223291,1.957265,1.927350,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,0.000000,0.900000,,,FIXED,true,STATIC
6,1780416362055,42923,FUSION,LESS_THAN_3_BEACONS,1.204594,1.223291,1.957265,1.927350,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,0.741300,0.900000,,,FIXED,true,STATIC
7,1780416370061,50929,FUSION,LESS_THAN_3_BEACONS,1.204594,1.223291,1.957265,1.927350,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,0.741300,0.900000,,,FIXED,true,STATIC
8,1780416373579,54447,FUSION,LESS_THAN_3_BEACONS,1.204594,1.223291,1.957265,1.927350,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,0.741300,0.900000,,,FIXED,true,STATIC
9,1780416379703,60571,FUSION,LESS_THAN_3_BEACONS,1.204594,1.223291,1.957265,1.927350,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,0.000000,0.900000,,,FIXED,true,STATIC
10,1780416382759,63627,FUSION,LESS_THAN_3_BEACONS,1.204594,1.223291,1.957265,1.927350,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,0.741300,0.900000,,,FIXED,true,STATIC
11,1780416386668,67536,FUSION,LESS_THAN_3_BEACONS,1.204594,1.223291,1.957265,1.927350,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,0.000000,0.900000,,,FIXED,true,STATIC
12,1780416391561,72429,FUSION,LESS_THAN_3_BEACONS,1.204594,1.223291,1.957265,1.927350,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,1.482600,0.900000,,,FIXED,true,STATIC
13,1780416400792,81660,FUSION,LESS_THAN_3_BEACONS,1.204594,1.223291,1.957265,1.927350,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,0.000000,0.900000,,,FIXED,true,STATIC
14,1780416404079,84947,FUSION,LESS_THAN_3_BEACONS,1.204594,1.223291,1.957265,1.927350,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,0.000000,0.900000,,,FIXED,true,STATIC
15,1780416409593,90461,FUSION,LESS_THAN_3_BEACONS,1.204594,1.223291,1.957265,1.927350,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,2.965200,0.900000,,,FIXED,true,STATIC
16,1780416418194,99062,FUSION,LESS_THAN_3_BEACONS,1.204594,1.223291,1.957265,1.927350,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,0.741300,0.900000,,,FIXED,true,STATIC
17,1780416418348,99216,FUSION,DEAD_RECKONING,0.902706,1.764829,2.823726,1.444330,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,0.741300,0.900000,,,FIXED,true,STATIC
18,1780416420349,101217,FUSION,DEAD_RECKONING,0.721849,2.491623,3.986597,1.154958,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,0.741300,0.900000,,,FIXED,true,STATIC
19,1780416421351,102219,FUSION,DEAD_RECKONING,0.537959,2.500000,4.000000,0.860734,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,0.741300,0.900000,,,FIXED,true,STATIC
20,1780416423356,104224,FUSION,DEAD_RECKONING,0.287980,2.500000,4.000000,0.460768,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,0.741300,0.900000,,,FIXED,true,STATIC
