sampleIndex,timestampMs,elapsedMs,mode,reason,renderXMeters,renderYMeters,renderRow,renderCol,bleXMeters,bleYMeters,bleRow,bleCol,hasBleFix,groundTruthXMeters,groundTruthYMeters,groundTruthRow,groundTruthCol,truthSource,evaluationEligible,errorMeters,bleErrorMeters,liveCount,filteredCount,adaptiveTuningEnabled,bleQualityScore,pdrQualityScore,rssiNoiseDb,bleMeasurementStdMeters,bleResidualRmsMeters,bleResidualMaxMeters,motionState,recordingEnabled,trialLabel
0,1780429913038,923,FUSION,OK,2.500000,0.977290,1.563663,4.000000,2.500000,0.977290,1.563663,4.000000,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,2.471000,0.600000,0.374185,0.473152,FIXED,true,UNLABELED
1,1780429932097,19982,ANCHOR,MAP_TAP,0.689103,0.641026,1.025641,1.102564,,,,,false,,,,,NONE,false,,,3,3,false,1.000000,1.000000,1.976800,0.900000,0.009946,0.016250,FIXED,true,WALK
2,1780429933277,21162,FUSION,DEAD_RECKONING,0.886269,1.228840,1.966144,1.418030,,,,,false,,,,,NONE,false,,,3,3,false,1.000000,1.000000,1.976800,0.900000,0.009946,0.016250,FIXED,true,WALK
3,1780429934277,22162,FUSION,DEAD_RECKONING,1.058290,1.979187,3.166699,1.693264,,,,,false,,,,,NONE,false,,,3,3,false,1.000000,1.000000,1.976800,0.900000,0.009946,0.016250,FIXED,true,WALK
4,1780429936841,24726,FUSION,OK,1.315896,2.284928,3.655885,2.105434,1.318355,2.271822,3.634915,2.109369,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.988400,0.900000,0.478528,0.594240,FIXED,true,WALK
5,1780429938278,26163,FUSION,DEAD_RECKONING,1.438218,2.500000,4.000000,2.301149,,,,,false,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.988400,0.900000,0.478528,0.594240,FIXED,true,WALK
6,1780429939278,27163,FUSION,DEAD_RECKONING,1.622880,2.500000,4.000000,2.596609,,,,,false,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.988400,0.900000,0.478528,0.594240,FIXED,true,WALK
7,1780429939920,27805,FUSION,OK,1.451270,2.257026,3.611241,2.322031,1.436657,2.247543,3.596068,2.298651,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.988400,0.900000,0.601290,0.753840,FIXED,true,WALK
8,1780429941279,29164,FUSION,DEAD_RECKONING,1.493390,2.500000,4.000000,2.389424,,,,,false,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.988400,0.900000,0.601290,0.753840,FIXED,true,WALK
9,1780429944030,31915,FUSION,OK,1.322884,2.380447,3.808715,2.116615,1.312623,2.375523,3.800837,2.100197,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,2.965200,0.900000,0.677633,0.785809,FIXED,true,WALK
10,1780429946281,34166,FUSION,DEAD_RECKONING,1.436539,2.500000,4.000000,2.298462,,,,,false,,,,,NONE,false,,,3,3,false,1.000000,1.000000,2.965200,0.900000,0.677633,0.785809,FIXED,true,WALK
11,1780429957934,45819,FUSION,LESS_THAN_3_BEACONS,1.436539,2.500000,4.000000,2.298462,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,2.223900,0.900000,,,FIXED,true,WALK
12,1780429962642,50527,FUSION,LESS_THAN_3_BEACONS,1.730415,2.500000,4.000000,2.768663,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,0.741300,0.900000,,,FIXED,true,WALK
13,1780429964292,52177,FUSION,DEAD_RECKONING,2.009372,2.500000,4.000000,3.214996,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,0.741300,0.900000,,,FIXED,true,WALK
14,1780429965294,53179,FUSION,DEAD_RECKONING,2.308679,2.500000,4.000000,3.693886,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,0.741300,0.900000,,,FIXED,true,WALK
15,1780429966757,54642,FUSION,OK,1.582679,2.187683,3.500293,2.532286,1.577553,2.186213,3.497940,2.524085,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.494200,0.900000,0.584372,0.703130,FIXED,true,WALK
