sampleIndex,timestampMs,elapsedMs,mode,reason,renderXMeters,renderYMeters,renderRow,renderCol,bleXMeters,bleYMeters,bleRow,bleCol,hasBleFix,groundTruthXMeters,groundTruthYMeters,groundTruthRow,groundTruthCol,truthSource,evaluationEligible,errorMeters,bleErrorMeters,liveCount,filteredCount,adaptiveTuningEnabled,bleQualityScore,pdrQualityScore,rssiNoiseDb,bleMeasurementStdMeters,bleResidualRmsMeters,bleResidualMaxMeters,motionState,recordingEnabled,trialLabel
0,1780416885797,628,FUSION,OK,1.408037,2.337946,3.740714,2.252859,1.408037,2.337946,3.740714,2.252859,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.000000,0.600000,0.658768,0.744551,FIXED,true,UNLABELED
1,1780416899441,14272,FUSION,OK,2.025246,2.207448,3.531917,3.240394,2.031501,2.232815,3.572505,3.250402,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.494200,0.600000,0.166153,0.268104,FIXED,true,STATIC
2,1780416903587,18418,FUSION,OK,1.911644,2.067759,3.308415,3.058630,1.863933,1.957513,3.132021,2.982293,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,1.482600,0.600000,0.400935,0.531664,FIXED,true,STATIC
3,1780416906678,21509,FUSION,OK,2.095701,1.655908,2.649453,3.353121,2.227196,1.565499,2.504799,3.563514,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.988400,0.600000,0.486653,0.618693,FIXED,true,STATIC
4,1780416921894,36725,FUSION,OK,1.717790,2.080337,3.328539,2.748464,1.432846,2.375898,3.801437,2.292554,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,1.482600,0.600000,0.641909,0.781481,FIXED,true,STATIC
5,1780416927599,42430,FUSION,OK,1.422185,2.345892,3.753427,2.275495,1.387313,2.357630,3.772208,2.219700,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,2.471000,0.600000,0.641969,0.718002,FIXED,true,STATIC
6,1780416930924,45755,FUSION,OK,1.375824,2.366937,3.787099,2.201319,1.371909,2.367573,3.788117,2.195054,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.988400,0.600000,0.648797,0.726095,FIXED,true,STATIC
7,1780416934391,49222,FUSION,OK,1.686438,2.110902,3.377442,2.698301,1.863933,1.966168,3.145869,2.982293,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,1.482600,0.600000,0.393383,0.526074,FIXED,true,STATIC
8,1780416939922,54753,FUSION,OK,1.998166,1.787661,2.860257,3.197065,2.084554,1.678485,2.685576,3.335286,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.988400,0.600000,0.461772,0.565775,FIXED,true,STATIC
9,1780416943035,57866,FUSION,OK,1.642909,2.124685,3.399497,2.628655,1.396361,2.371735,3.794777,2.234177,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.988400,0.600000,0.661691,0.756254,FIXED,true,STATIC
10,1780416951623,66454,FUSION,OK,1.536437,2.224369,3.558990,2.458299,1.597974,2.159192,3.454706,2.556759,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.494200,0.600000,0.536106,0.635662,FIXED,true,STATIC
11,1780416959009,73840,FUSION,OK,1.680306,2.182563,3.492100,2.688489,1.735327,2.186782,3.498851,2.776523,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,2.471000,0.600000,0.024616,0.031360,FIXED,true,STATIC
