sampleIndex,timestampMs,elapsedMs,mode,reason,renderXMeters,renderYMeters,renderRow,renderCol,bleXMeters,bleYMeters,bleRow,bleCol,hasBleFix,groundTruthXMeters,groundTruthYMeters,groundTruthRow,groundTruthCol,truthSource,evaluationEligible,errorMeters,bleErrorMeters,liveCount,filteredCount,adaptiveTuningEnabled,bleQualityScore,pdrQualityScore,rssiNoiseDb,bleMeasurementStdMeters,bleResidualRmsMeters,bleResidualMaxMeters,motionState,recordingEnabled,trialLabel
0,1780415705980,2190,FUSION,OK,1.666404,1.958286,3.133258,2.666246,1.666404,1.958286,3.133258,2.666246,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.000000,0.600000,0.352682,0.480166,FIXED,true,UNLABELED
1,1780415714576,10786,ANCHOR,MODE_SELECTED,1.883013,0.667735,1.068376,3.012820,,,,,false,,,,,NONE,false,,,3,3,false,1.000000,1.000000,2.471000,0.600000,0.423564,0.548739,FIXED,true,STATIC
2,1780415731392,27602,FUSION,OK,1.233852,0.611380,0.978208,1.974164,1.175943,0.606353,0.970164,1.881509,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.494200,0.600000,0.207190,0.343572,FIXED,true,STATIC
3,1780415736500,32710,FUSION,LESS_THAN_3_BEACONS,1.233852,0.611380,0.978208,1.974164,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,1.482600,0.600000,,,FIXED,true,STATIC
4,1780415746321,42531,FUSION,OK,1.112488,0.955601,1.528962,1.779981,1.250000,1.059530,1.695248,2.000000,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.494200,0.600000,0.060053,0.102394,FIXED,true,STATIC
