sampleIndex,timestampMs,elapsedMs,mode,reason,renderXMeters,renderYMeters,renderRow,renderCol,bleXMeters,bleYMeters,bleRow,bleCol,hasBleFix,groundTruthXMeters,groundTruthYMeters,groundTruthRow,groundTruthCol,truthSource,evaluationEligible,errorMeters,bleErrorMeters,liveCount,filteredCount,adaptiveTuningEnabled,bleQualityScore,pdrQualityScore,rssiNoiseDb,bleMeasurementStdMeters,bleResidualRmsMeters,bleResidualMaxMeters,motionState,recordingEnabled,trialLabel
0,1780416161028,55512,FUSION,LESS_THAN_3_BEACONS,1.290064,1.298077,2.076923,2.064103,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,0.000000,0.900000,,,FIXED,true,STATIC
1,1780416172719,67203,FUSION,LESS_THAN_3_BEACONS,1.290064,1.298077,2.076923,2.064103,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,2.223900,0.900000,,,FIXED,true,STATIC
2,1780416193769,88253,FUSION,DEAD_RECKONING,0.772879,1.640012,2.624019,1.236607,,,,,false,,,,,NONE,false,,,3,3,false,0.000000,1.000000,0.000000,0.900000,0.990116,1.110281,FIXED,true,STATIC
3,1780416194770,89254,FUSION,DEAD_RECKONING,0.284499,2.150456,3.440730,0.455198,,,,,false,,,,,NONE,false,,,3,3,false,0.000000,1.000000,0.000000,0.900000,0.990116,1.110281,FIXED,true,STATIC
4,1780416195770,90254,FUSION,DEAD_RECKONING,0.000000,2.500000,4.000000,0.000000,,,,,false,,,,,NONE,false,,,3,3,false,0.000000,1.000000,0.000000,0.900000,0.990116,1.110281,FIXED,true,STATIC
5,1780416196053,90537,FUSION,OK,1.798128,1.917591,3.068145,2.877005,1.826446,1.908419,3.053470,2.922313,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,2.471000,0.900000,0.610891,0.782491,FIXED,true,STATIC
