sampleIndex,timestampMs,elapsedMs,mode,reason,renderXMeters,renderYMeters,renderRow,renderCol,bleXMeters,bleYMeters,bleRow,bleCol,hasBleFix,groundTruthXMeters,groundTruthYMeters,groundTruthRow,groundTruthCol,truthSource,evaluationEligible,errorMeters,bleErrorMeters,liveCount,filteredCount,adaptiveTuningEnabled,bleQualityScore,pdrQualityScore,rssiNoiseDb,bleMeasurementStdMeters,bleResidualRmsMeters,bleResidualMaxMeters,motionState,recordingEnabled,trialLabel
0,1780189005684,42868,ANCHOR,MAP_TAP,1.258013,0.387286,0.619658,2.012820,,,,,false,1.258013,0.387286,0.619658,2.012820,MANUAL_ANCHOR,false,0.000000,,1,1,true,0.000000,1.000000,0.000000,0.900000,,,STATIONARY,true,STATIC
1,1780189007101,44285,FUSION,LESS_THAN_3_BEACONS,1.258013,0.387286,0.619658,2.012820,,,,,false,,,,,NONE,false,,,1,1,true,0.000000,1.000000,0.000000,0.900000,,,STATIONARY,true,STATIC
2,1780189012394,49578,FUSION,LESS_THAN_3_BEACONS,1.258013,0.387286,0.619658,2.012820,,,,,false,,,,,NONE,false,,,1,1,true,0.000000,1.000000,0.000000,0.900000,,,STATIONARY,true,STATIC
3,1780189015506,52690,FUSION,LESS_THAN_3_BEACONS,1.258013,0.387286,0.619658,2.012820,,,,,false,,,,,NONE,false,,,1,1,true,0.000000,1.000000,0.000000,0.900000,,,STATIONARY,true,STATIC
4,1780189020604,57788,FUSION,LESS_THAN_3_BEACONS,1.258013,0.387286,0.619658,2.012820,,,,,false,,,,,NONE,false,,,1,1,true,0.000000,1.000000,0.000000,0.900000,,,STATIONARY,true,STATIC
5,1780189024290,61474,FUSION,LESS_THAN_3_BEACONS,1.258013,0.387286,0.619658,2.012820,,,,,false,,,,,NONE,false,,,1,1,true,0.000000,1.000000,0.000000,0.900000,,,STATIONARY,true,STATIC
6,1780189031006,68190,PDR_ONLY,LESS_THAN_3_BEACONS,1.258013,0.387286,0.619658,2.012820,,,,,false,,,,,NONE,false,,,1,1,true,0.000000,1.000000,0.000000,0.900000,,,STATIONARY,true,STATIC
7,1780189033125,70309,PDR_ONLY,LESS_THAN_3_BEACONS,1.258013,0.387286,0.619658,2.012820,,,,,false,,,,,NONE,false,,,1,1,true,0.000000,1.000000,0.000000,0.900000,,,STATIONARY,true,WALK
8,1780189036338,73522,PDR_ONLY,LESS_THAN_3_BEACONS,1.258013,0.387286,0.619658,2.012820,,,,,false,,,,,NONE,false,,,1,1,true,0.000000,1.000000,0.000000,0.900000,,,STATIONARY,true,WALK
9,1780189039410,76594,PDR_ONLY,LESS_THAN_3_BEACONS,1.258013,0.387286,0.619658,2.012820,,,,,false,,,,,NONE,false,,,1,1,true,0.000000,1.000000,0.000000,0.900000,,,STATIONARY,true,WALK
10,1780189043373,80557,PDR_ONLY,LESS_THAN_3_BEACONS,1.258013,0.387286,0.619658,2.012820,,,,,false,,,,,NONE,false,,,1,1,true,0.000000,1.000000,0.000000,0.900000,,,STATIONARY,true,WALK
11,1780189048383,85567,PDR_ONLY,LESS_THAN_3_BEACONS,1.258013,0.387286,0.619658,2.012820,,,,,false,,,,,NONE,false,,,1,1,true,0.000000,1.000000,0.000000,0.900000,,,STATIONARY,true,WALK
12,1780189054304,91488,PDR_ONLY,LESS_THAN_3_BEACONS,1.258013,0.387286,0.619658,2.012820,,,,,false,,,,,NONE,false,,,1,1,true,0.000000,1.000000,0.000000,0.900000,,,STATIONARY,true,WALK
13,1780189056268,93452,PDR_ONLY,MODE_SELECTED,1.258013,0.387286,0.619658,2.012820,,,,,false,,,,,NONE,false,,,1,1,true,0.000000,1.000000,0.000000,0.900000,,,STATIONARY,true,WALK
14,1780189057353,94537,PDR_ONLY,MODE_SELECTED,1.258013,0.387286,0.619658,2.012820,,,,,false,,,,,NONE,false,,,1,1,true,0.000000,1.000000,0.000000,0.900000,,,STATIONARY,true,WALK
15,1780189061295,98479,FUSION,LESS_THAN_3_BEACONS,1.258013,0.387286,0.619658,2.012820,,,,,false,,,,,NONE,false,,,1,1,true,0.000000,1.000000,0.000000,0.900000,,,STATIONARY,true,WALK
16,1780189066384,103568,FUSION,LESS_THAN_3_BEACONS,1.258013,0.387286,0.619658,2.012820,,,,,false,,,,,NONE,false,,,1,1,true,0.000000,1.000000,0.000000,0.900000,,,STATIONARY,true,WALK
17,1780189072350,109534,FUSION,LESS_THAN_3_BEACONS,1.258013,0.387286,0.619658,2.012820,,,,,false,,,,,NONE,false,,,1,1,true,0.000000,1.000000,0.000000,0.900000,,,STATIONARY,true,WALK
18,1780189075387,112571,FUSION,LESS_THAN_3_BEACONS,1.258013,0.387286,0.619658,2.012820,,,,,false,,,,,NONE,false,,,1,1,true,0.000000,1.000000,0.000000,0.900000,,,STATIONARY,true,WALK
19,1780189079510,116694,FUSION,LESS_THAN_3_BEACONS,1.258013,0.387286,0.619658,2.012820,,,,,false,,,,,NONE,false,,,1,1,true,0.000000,1.000000,0.000000,0.900000,,,STATIONARY,true,WALK
20,1780189084410,121594,FUSION,LESS_THAN_3_BEACONS,1.258013,0.387286,0.619658,2.012820,,,,,false,,,,,NONE,false,,,1,1,true,0.000000,1.000000,0.000000,0.900000,,,STATIONARY,true,WALK
