sampleIndex,timestampMs,elapsedMs,mode,reason,renderXMeters,renderYMeters,renderRow,renderCol,bleXMeters,bleYMeters,bleRow,bleCol,hasBleFix,groundTruthXMeters,groundTruthYMeters,groundTruthRow,groundTruthCol,truthSource,evaluationEligible,errorMeters,bleErrorMeters,liveCount,filteredCount,adaptiveTuningEnabled,bleQualityScore,pdrQualityScore,rssiNoiseDb,bleMeasurementStdMeters,bleResidualRmsMeters,bleResidualMaxMeters,motionState,recordingEnabled,trialLabel
0,1780417103349,8957,FUSION,OK,1.633181,2.187079,3.499327,2.613090,1.610973,2.214885,3.543816,2.577556,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.000000,0.600000,0.549003,0.726295,FIXED,true,STATIC
1,1780417106812,12420,FUSION,OK,1.396227,2.195067,3.512108,2.233964,1.396431,2.122707,3.396332,2.234290,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.988400,0.600000,0.359357,0.486800,FIXED,true,STATIC
2,1780417110099,15707,FUSION,OK,1.382931,2.240141,3.584226,2.212689,1.380978,2.328984,3.726374,2.209565,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,1.482600,0.600000,0.580520,0.673223,FIXED,true,STATIC
3,1780417121190,26798,FUSION,OK,1.501263,2.197611,3.516177,2.402021,1.569332,2.126829,3.402926,2.510932,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.000000,0.600000,0.471174,0.591713,FIXED,true,STATIC
4,1780417124947,30555,FUSION,OK,1.584095,2.124028,3.398444,2.534552,1.598815,2.114106,3.382569,2.558104,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.000000,0.600000,0.435268,0.533746,FIXED,true,STATIC
5,1780417128049,33657,FUSION,OK,1.435042,2.281267,3.650027,2.296067,1.341965,2.376627,3.802603,2.147144,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.988400,0.600000,0.719342,0.826052,FIXED,true,STATIC
6,1780417137042,42650,FUSION,OK,1.483187,2.166490,3.466384,2.373099,1.556221,2.054752,3.287604,2.489953,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.494200,0.600000,0.384569,0.519589,FIXED,true,STATIC
7,1780417142976,48584,FUSION,OK,1.419697,2.285616,3.656986,2.271514,1.349301,2.406595,3.850552,2.158882,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.000000,0.600000,0.661555,0.724617,FIXED,true,STATIC
8,1780417146230,51838,FUSION,OK,1.453660,2.278509,3.645615,2.325855,1.506603,2.216120,3.545792,2.410565,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,1.482600,0.600000,0.547893,0.658161,FIXED,true,STATIC
9,1780417150115,55723,FUSION,OK,1.736091,2.005095,3.208151,2.777746,1.869836,1.880164,3.008262,2.991738,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.988400,0.600000,0.528330,0.632725,FIXED,true,STATIC
