sampleIndex,timestampMs,elapsedMs,mode,reason,renderXMeters,renderYMeters,renderRow,renderCol,bleXMeters,bleYMeters,bleRow,bleCol,hasBleFix,groundTruthXMeters,groundTruthYMeters,groundTruthRow,groundTruthCol,truthSource,evaluationEligible,errorMeters,bleErrorMeters,liveCount,filteredCount,adaptiveTuningEnabled,bleQualityScore,pdrQualityScore,rssiNoiseDb,bleMeasurementStdMeters,bleResidualRmsMeters,bleResidualMaxMeters,motionState,recordingEnabled,trialLabel
0,1780430908480,744,FUSION,OK,0.512359,1.771704,2.834726,0.819774,0.512359,1.771704,2.834726,0.819774,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,1.482600,0.600000,0.290503,0.349295,FIXED,true,UNLABELED
1,1780430909877,2141,FUSION,DEAD_RECKONING,0.634420,2.379570,3.807312,1.015072,,,,,false,,,,,NONE,false,,,3,3,false,1.000000,1.000000,1.482600,0.600000,0.290503,0.349295,FIXED,true,UNLABELED
2,1780430911563,3827,FUSION,OK,1.073167,2.427767,3.884427,1.717067,1.077134,2.377538,3.804061,1.723414,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,1.482600,0.900000,0.530775,0.619914,FIXED,true,UNLABELED
3,1780430915857,8121,FUSION,OK,1.236604,2.453998,3.926397,1.978567,1.229843,2.500000,4.000000,1.967749,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.494200,0.600000,0.731558,0.765732,FIXED,true,UNLABELED
4,1780430920181,12445,FUSION,OK,1.169346,2.500000,4.000000,1.870953,1.170335,2.463864,3.942183,1.872535,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.988400,0.600000,0.622051,0.688575,FIXED,true,UNLABELED
5,1780430923273,15537,FUSION,OK,0.768900,2.113204,3.381127,1.230239,0.613616,2.088295,3.341273,0.981786,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,3.459400,0.600000,0.181409,0.256618,FIXED,true,UNLABELED
6,1780430932694,24958,FUSION,OK,0.992232,2.388077,3.820923,1.587571,1.205012,2.500000,4.000000,1.928019,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.000000,0.600000,0.577542,0.654827,FIXED,true,UNLABELED
7,1780430940336,32600,FUSION,OK,0.985024,2.131673,3.410676,1.576039,0.869330,1.933491,3.093585,1.390927,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,3.953600,0.600000,0.085023,0.108902,FIXED,true,UNLABELED
