sampleIndex,timestampMs,elapsedMs,mode,reason,renderXMeters,renderYMeters,renderRow,renderCol,bleXMeters,bleYMeters,bleRow,bleCol,hasBleFix,groundTruthXMeters,groundTruthYMeters,groundTruthRow,groundTruthCol,truthSource,evaluationEligible,errorMeters,bleErrorMeters,liveCount,filteredCount,adaptiveTuningEnabled,bleQualityScore,pdrQualityScore,rssiNoiseDb,bleMeasurementStdMeters,bleResidualRmsMeters,bleResidualMaxMeters,motionState,recordingEnabled,trialLabel
0,1780430016729,1377,FUSION,OK,1.265955,2.138419,3.421471,2.025528,1.265955,2.138419,3.421471,2.025528,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,4.447800,0.900000,0.378153,0.519868,FIXED,true,UNLABELED
1,1780430027341,11989,ANCHOR,MAP_TAP,0.616987,0.622329,0.995726,0.987179,,,,,false,,,,,NONE,false,,,3,3,false,0.000000,1.000000,1.482600,0.900000,0.781455,0.873359,FIXED,true,WALK
2,1780430028225,12873,FUSION,OK,1.274084,2.124439,3.399102,2.038534,1.420644,2.290692,3.665106,2.273030,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.494200,0.900000,0.681498,0.830717,FIXED,true,WALK
3,1780430034351,18999,FUSION,OK,1.555805,2.380976,3.809561,2.489288,1.485899,2.248253,3.597204,2.377438,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.494200,0.900000,0.686329,0.826221,FIXED,true,WALK
4,1780430036518,21166,FUSION,DEAD_RECKONING,1.704517,2.500000,4.000000,2.727227,,,,,false,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.494200,0.900000,0.686329,0.826221,FIXED,true,WALK
5,1780430037519,22167,FUSION,DEAD_RECKONING,1.878079,2.500000,4.000000,3.004926,,,,,false,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.494200,0.900000,0.686329,0.826221,FIXED,true,WALK
6,1780430040063,24711,FUSION,OK,1.358679,2.343174,3.749079,2.173886,1.347800,2.340899,3.745439,2.156480,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,1.482600,0.900000,0.545637,0.631116,FIXED,true,WALK
7,1780430041523,26171,FUSION,DEAD_RECKONING,1.689012,2.500000,4.000000,2.702420,,,,,false,,,,,NONE,false,,,3,3,false,1.000000,1.000000,1.482600,0.900000,0.545637,0.631116,FIXED,true,WALK
8,1780430042525,27173,FUSION,DEAD_RECKONING,1.933274,2.500000,4.000000,3.093239,,,,,false,,,,,NONE,false,,,3,3,false,1.000000,1.000000,1.482600,0.900000,0.545637,0.631116,FIXED,true,WALK
9,1780430043151,27799,FUSION,OK,1.061764,2.344974,3.751959,1.698823,1.048758,2.343246,3.749194,1.678012,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,3.953600,0.900000,0.649219,0.789181,FIXED,true,WALK
10,1780430045527,30175,FUSION,DEAD_RECKONING,0.780542,2.500000,4.000000,1.248867,,,,,false,,,,,NONE,false,,,3,3,false,1.000000,1.000000,3.953600,0.900000,0.649219,0.789181,FIXED,true,WALK
11,1780430046670,31318,FUSION,LESS_THAN_3_BEACONS,0.780542,2.500000,4.000000,1.248867,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,0.000000,0.900000,,,FIXED,true,WALK
12,1780430052165,36813,FUSION,LESS_THAN_3_BEACONS,0.792832,2.500000,4.000000,1.268532,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,0.000000,0.900000,,,FIXED,true,WALK
13,1780430054539,39187,FUSION,DEAD_RECKONING,0.938458,2.500000,4.000000,1.501533,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,0.000000,0.900000,,,FIXED,true,WALK
14,1780430055541,40189,FUSION,DEAD_RECKONING,1.169156,2.500000,4.000000,1.870649,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,0.000000,0.900000,,,FIXED,true,WALK
15,1780430057903,42551,FUSION,OK,1.761458,1.940848,3.105356,2.818333,1.763099,1.939039,3.102462,2.820958,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.988400,0.900000,0.522295,0.694405,FIXED,true,WALK
16,1780430062552,47200,FUSION,DEAD_RECKONING,2.277119,2.306123,3.689797,3.643390,,,,,false,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.988400,0.900000,0.522295,0.694405,FIXED,true,WALK
17,1780430063554,48202,FUSION,DEAD_RECKONING,2.500000,2.500000,4.000000,4.000000,,,,,false,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.988400,0.900000,0.522295,0.694405,FIXED,true,WALK
