sampleIndex,timestampMs,elapsedMs,mode,reason,renderXMeters,renderYMeters,renderRow,renderCol,bleXMeters,bleYMeters,bleRow,bleCol,hasBleFix,groundTruthXMeters,groundTruthYMeters,groundTruthRow,groundTruthCol,truthSource,evaluationEligible,errorMeters,bleErrorMeters,liveCount,filteredCount,adaptiveTuningEnabled,bleQualityScore,pdrQualityScore,rssiNoiseDb,bleMeasurementStdMeters,bleResidualRmsMeters,bleResidualMaxMeters,motionState,recordingEnabled,trialLabel
0,1780412608621,20901,FUSION,OK,0.911104,1.774459,2.839135,1.457767,0.911104,1.774459,2.839135,1.457767,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,1.482600,0.600000,0.058210,0.083520,FIXED,true,UNLABELED
1,1780412616282,28562,ANCHOR,MAP_TAP,0.737180,0.654380,1.047009,1.179487,,,,,false,0.737180,0.654380,1.047009,1.179487,MANUAL_ANCHOR,false,0.000000,,3,3,false,1.000000,1.000000,1.482600,0.600000,0.058210,0.083520,FIXED,true,UNLABELED
2,1780412619491,31771,ANCHOR,MAP_TAP,0.686432,0.643697,1.029914,1.098291,,,,,false,0.686432,0.643697,1.029914,1.098291,MANUAL_ANCHOR,false,0.000000,,3,3,false,0.000000,1.000000,0.000000,0.600000,0.754476,0.965675,FIXED,true,UNLABELED
3,1780412620334,32614,ANCHOR,MAP_TAP,0.608974,0.616987,0.987179,0.974359,,,,,false,0.608974,0.616987,0.987179,0.974359,MANUAL_ANCHOR,false,0.000000,,3,3,false,0.000000,1.000000,0.000000,0.600000,0.754476,0.965675,FIXED,true,UNLABELED
