sampleIndex,timestampMs,elapsedMs,mode,reason,renderXMeters,renderYMeters,renderRow,renderCol,bleXMeters,bleYMeters,bleRow,bleCol,hasBleFix,groundTruthXMeters,groundTruthYMeters,groundTruthRow,groundTruthCol,truthSource,evaluationEligible,errorMeters,bleErrorMeters,liveCount,filteredCount,adaptiveTuningEnabled,bleQualityScore,pdrQualityScore,rssiNoiseDb,bleMeasurementStdMeters,bleResidualRmsMeters,bleResidualMaxMeters,motionState,recordingEnabled,trialLabel
0,1780430283056,5528,ANCHOR,MAP_TAP,0.571581,1.901709,3.042735,0.914530,,,,,false,,,,,NONE,false,,,3,3,false,0.000000,1.000000,1.482600,0.900000,1.022358,1.078743,FIXED,true,WALK
1,1780430283670,6142,FUSION,DEAD_RECKONING,0.065875,2.260403,3.616645,0.105400,,,,,false,,,,,NONE,false,,,3,3,false,0.000000,1.000000,1.482600,0.900000,1.022358,1.078743,FIXED,true,WALK
2,1780430284670,7142,FUSION,DEAD_RECKONING,0.000000,2.500000,4.000000,0.000000,,,,,false,,,,,NONE,false,,,3,3,false,0.000000,1.000000,1.482600,0.900000,1.022358,1.078743,FIXED,true,WALK
3,1780430297011,19483,FUSION,LESS_THAN_3_BEACONS,0.000000,2.500000,4.000000,0.000000,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,1.482600,0.900000,,,FIXED,true,WALK
4,1780430301920,24392,FUSION,LESS_THAN_3_BEACONS,0.000000,2.500000,4.000000,0.000000,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,0.741300,0.900000,,,FIXED,true,WALK
5,1780430310689,33161,FUSION,DEAD_RECKONING,0.575101,2.500000,4.000000,0.920161,,,,,false,,,,,NONE,false,,,3,3,false,0.000000,1.000000,0.494200,0.900000,0.762557,0.933699,FIXED,true,WALK
6,1780430315692,38164,FUSION,DEAD_RECKONING,1.430335,2.500000,4.000000,2.288536,,,,,false,,,,,NONE,false,,,3,3,false,0.000000,1.000000,0.494200,0.900000,0.977540,1.066804,FIXED,true,WALK
7,1780430316693,39165,FUSION,DEAD_RECKONING,2.225591,2.500000,4.000000,3.560946,,,,,false,,,,,NONE,false,,,3,3,false,0.000000,1.000000,0.494200,0.900000,0.977540,1.066804,FIXED,true,WALK
8,1780430317696,40168,FUSION,DEAD_RECKONING,2.500000,2.500000,4.000000,4.000000,,,,,false,,,,,NONE,false,,,3,3,false,0.000000,1.000000,0.494200,0.900000,0.977540,1.066804,FIXED,true,WALK
9,1780430320699,43171,FUSION,DEAD_RECKONING,2.500000,2.359723,3.775557,4.000000,,,,,false,,,,,NONE,false,,,3,3,false,0.000000,1.000000,2.965200,0.900000,1.070884,1.132527,FIXED,true,WALK
10,1780430323703,46175,FUSION,DEAD_RECKONING,2.500000,1.871003,2.993605,4.000000,,,,,false,,,,,NONE,false,,,3,3,false,0.000000,1.000000,2.471000,0.900000,1.029707,1.110416,FIXED,true,WALK
