sampleIndex,timestampMs,elapsedMs,mode,reason,renderXMeters,renderYMeters,renderRow,renderCol,bleXMeters,bleYMeters,bleRow,bleCol,hasBleFix,groundTruthXMeters,groundTruthYMeters,groundTruthRow,groundTruthCol,truthSource,evaluationEligible,errorMeters,bleErrorMeters,liveCount,filteredCount,adaptiveTuningEnabled,bleQualityScore,pdrQualityScore,rssiNoiseDb,bleMeasurementStdMeters,bleResidualRmsMeters,bleResidualMaxMeters,motionState,recordingEnabled,trialLabel
0,1780412694110,9553,ANCHOR,MAP_TAP,0.635684,0.619658,0.991453,1.017094,,,,,false,0.635684,0.619658,0.991453,1.017094,MANUAL_ANCHOR,false,0.000000,,3,3,false,0.000000,1.000000,1.482600,0.900000,0.360105,0.461476,FIXED,true,STATIC
1,1780412712202,27645,FUSION,LESS_THAN_3_BEACONS,0.635684,0.619658,0.991453,1.017094,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,0.000000,0.900000,,,FIXED,true,STATIC
2,1780412715493,30936,FUSION,LESS_THAN_3_BEACONS,0.635684,0.619658,0.991453,1.017094,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,0.741300,0.900000,,,FIXED,true,STATIC
3,1780412726209,41652,FUSION,LESS_THAN_3_BEACONS,0.635684,0.619658,0.991453,1.017094,,,,,false,,,,,NONE,false,,,3,2,false,0.000000,1.000000,0.000000,0.900000,,,FIXED,true,STATIC
