sampleIndex,timestampMs,elapsedMs,mode,reason,renderXMeters,renderYMeters,renderRow,renderCol,bleXMeters,bleYMeters,bleRow,bleCol,hasBleFix,groundTruthXMeters,groundTruthYMeters,groundTruthRow,groundTruthCol,truthSource,evaluationEligible,errorMeters,bleErrorMeters,liveCount,filteredCount,adaptiveTuningEnabled,bleQualityScore,pdrQualityScore,rssiNoiseDb,bleMeasurementStdMeters,bleResidualRmsMeters,bleResidualMaxMeters,motionState,recordingEnabled,trialLabel
0,1780415573200,2404,FUSION,OK,0.927347,1.995187,3.192299,1.483755,0.927347,1.995187,3.192299,1.483755,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,4.447800,0.600000,0.367826,0.519175,FIXED,true,UNLABELED
1,1780415577707,6911,FUSION,OK,1.276756,2.074320,3.318911,2.042809,1.301785,2.079988,3.327981,2.082856,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.494200,0.600000,0.380971,0.549764,FIXED,true,UNLABELED
2,1780415649450,78654,FUSION,OK,2.067259,1.285932,2.057491,3.307614,2.080835,1.344653,2.151444,3.329336,true,,,,,NONE,false,,,3,3,false,1.000000,1.000000,0.000000,0.600000,0.407057,0.620766,FIXED,true,STATIC
